SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0.0,0.029689737,57.0,0,0.283244418,15181.5,7,0,1,0,0.0
0.0,0.0,57.0,0,0.14256225,11625.0,9,0,1,0,0.0
0.0,0.036569165,48.0,0,0.236293951,9000.0,6,0,2,0,3.0
0.0,1.018330787,41.0,0,0.163137729,7437.0,4,0,0,0,0.0
0.0,1.008799413,49.0,0,3942.0,,10,0,1,0,0.0
0.0,0.798650169,34.0,0,0.295274271,13425.0,8,0,2,0,0.0
0.0,0.140158374,67.0,0,291.0,,6,0,0,0,0.0
0.0,0.04593505,78.0,0,0.007199177,8749.5,11,0,0,0,1.0
,,,0,0.255097258,12799.5,12,0,1,0,0.0
0.0,0.133724418,44.0,0,0.259474278,9300.0,9,0,2,0,2.0
1.0,0.9999999,55.0,0,0.132851696,7473.0,1,1,0,0,0.0
0.0,0.0,33.0,0,0.009175931,8499.0,9,0,0,0,0.0
,,,0,6.0,,2,0,0,0,0.0
0.0,0.0,44.0,0,0.608531437,6750.0,13,0,2,0,2.0
0.0,0.881514811,62.0,0,0.489179104,4018.5,4,0,1,0,0.0
0.0,0.345982257,58.0,0,0.514371407,6000.0,6,0,1,0,0.0
0.0,0.074144247,74.0,0,0.009249377,8431.5,6,0,0,0,1.0
0.0,0.925082997,58.0,1,2200.0,,3,0,1,0,0.0
0.0,0.508254824,47.0,0,0.58369593,11719.5,9,0,1,0,1.0
0.0,0.005455228,81.0,0,0.479004666,6750.0,17,0,2,0,0.0
1.0,0.419627554,63.0,1,0.438756124,15000.0,13,1,2,0,0.0
0.0,0.004136176,41.0,0,0.472323285,11542.5,9,0,2,0,0.0
0.0,0.795932437,25.0,1,0.037756802,2700.0,3,0,0,0,0.0
,,150.0,0,0.206383489,12499.5,5,0,1,0,0.0
0.0,0.0,51.0,0,576.0,,5,0,1,0,0.0
0.0,0.06323366,46.0,0,0.191144965,6300.0,6,0,1,0,1.0
,,,1,0.554770789,11254.5,17,0,4,0,0.0
1.0,0.147334739,54.0,0,0.031626085,5358.0,8,0,0,0,1.0
0.0,0.451736404,62.0,0,0.180824373,25108.5,8,0,2,0,0.0
,,150.0,0,0.544645535,15000.0,11,0,1,0,2.0
0.0,0.822400231,63.0,0,0.515793683,3750.0,12,0,0,0,0.0
0.0,0.023455168,64.0,0,0.253984607,24750.0,28,0,2,0,1.0
0.0,0.032074198,57.0,0,0.548886738,4647.0,8,0,1,0,0.0
,,,2,168.0,1.5,3,1,0,0,0.0
0.0,0.018146837,58.0,0,2122.0,,6,0,2,0,0.0
0.0,0.604395604,36.0,0,0.710350955,3375.0,18,0,0,0,0.0
0.0,0.9999999,53.0,0,0.0,1999.5,0,0,0,0,0.0
0.0,0.158859813,53.0,0,0.435405953,9624.0,12,0,1,0,1.0
0.0,0.004755344,62.0,0,0.402355776,11205.0,10,0,3,0,2.0
0.0,0.0,30.0,0,0.0,3000.0,3,0,0,0,0.0
0.0,0.9999999,71.0,0,0.0,12000.0,0,0,0,0,0.0
0.0,0.798624547,69.0,0,0.445263684,12001.5,8,0,2,1,0.0
1.0,0.762408771,39.0,0,0.529433543,4050.0,6,0,0,0,4.0
,,,0,1234.0,,9,0,2,1,1.0
0.0,0.0641729,89.0,0,659.0,,10,0,0,0,
0.0,0.047997333,57.0,0,0.260353469,11371.5,4,0,1,0,1.0
1.0,0.787511231,48.0,2,1.554174067,2532.0,6,1,1,1,3.0
0.0,0.102774497,51.0,0,0.162936832,13605.0,9,0,1,0,1.0
0.0,0.072853674,84.0,0,0.017301038,3900.0,4,0,0,0,1.0
0.0,0.05234587,65.0,1,1.280929768,6000.0,11,0,4,0,0.0
0.0,0.478023726,43.0,0,0.162941961,8992.5,3,1,1,0,2.0
0.0,0.0,63.0,0,968.0,,4,0,1,0,2.0
0.0,0.063982976,72.0,0,0.036049682,4950.0,4,0,0,0,1.0
0.0,0.038680128,52.0,0,1235.0,,6,0,1,0,0.0
0.0,0.098284692,30.0,0,0.450387051,2130.0,7,0,0,0,0.0
0.0,0.049259124,63.0,0,1003.0,,6,0,1,0,0.0
0.0,0.188430487,47.0,0,0.429893438,10696.5,5,0,1,0,2.0
0.0,0.128782829,30.0,0,28.0,,3,0,0,0,
0.0,0.0,55.0,0,0.0,10350.0,2,0,0,0,0.0
0.0,0.186792528,63.0,0,5554.0,,16,0,3,0,0.0
0.0,0.012963401,38.0,0,30.0,,7,0,0,0,1.0
0.0,0.0,57.0,2,1981.0,,4,0,2,0,3.0
0.0,0.0,55.0,0,0.585793137,6249.0,7,0,1,0,0.0
0.0,0.779088729,52.0,0,0.258882342,8400.0,9,0,1,0,0.0
0.0,0.164413983,65.0,0,1187.0,,17,0,0,0,0.0
,,150.0,0,0.598955392,10624.5,24,0,2,0,1.0
0.0,0.142738779,47.0,0,0.367907261,7374.0,8,0,1,0,2.0
0.0,0.0,53.0,0,0.188540573,30000.0,16,0,2,0,4.0
0.0,0.0,71.0,0,0.423326134,5554.5,13,0,1,0,0.0
,,,0,0.479658606,5271.0,11,0,1,0,0.0
0.0,0.078049835,45.0,0,0.569960023,2625.0,10,0,2,0,0.0
0.0,0.9999999,68.0,0,84.0,,5,0,0,0,0.0
0.0,0.224367989,47.0,0,0.280226164,19365.0,5,0,1,0,5.0
0.0,0.823038874,47.0,0,3715.0,,11,0,1,0,1.0
0.0,0.727946115,57.0,0,0.272429309,27000.0,8,0,2,0,4.0
0.0,0.076211301,49.0,0,0.205577612,15489.0,7,0,1,0,1.0
0.0,0.9999999,34.0,0,3210.0,0.0,2,0,1,0,2.0
0.0,0.989400353,51.0,0,0.87424362,5700.0,6,0,2,0,0.0
0.0,0.38903219,68.0,0,1956.0,,8,0,1,0,0.0
,,150.0,0,0.005346294,6171.0,4,0,0,0,0.0
,,,0,0.390540776,8625.0,8,0,2,0,3.0
0.0,0.0,34.0,0,0.29843963,9900.0,10,0,0,0,2.0
0.0,0.295809317,48.0,1,2243.0,,8,0,1,0,2.0
0.0,0.330316509,67.0,0,1081.0,,7,0,1,0,0.0
,,150.0,0,0.119847812,7095.0,4,0,0,0,1.0
0.0,0.012477239,66.0,0,0.085793137,12499.5,5,0,0,0,2.0
0.0,0.250974903,33.0,0,0.061297685,4599.0,4,0,0,0,0.0
0.0,0.375968651,60.0,0,0.275497572,15750.0,14,0,2,0,0.0
0.0,0.954499082,31.0,0,0.235159342,7200.0,10,0,0,0,2.0
0.0,0.228519196,40.0,0,0.175637394,9000.0,8,0,0,0,0.0
,,,0,1.243362832,6100.5,5,0,2,0,1.0
0.0,0.17727829,65.0,0,0.02413417,10999.5,2,0,0,0,0.0
0.0,0.049011809,49.0,0,1.015912481,6031.5,16,0,2,0,2.0
,,,0,0.393034826,300.0,4,0,0,0,0.0
0.0,0.110994158,85.0,0,0.026076159,3622.5,1,0,0,0,0.0
0.0,0.151233951,63.0,1,0.064693197,7650.0,7,0,0,0,1.0
0.0,0.246042779,70.0,0,0.318729785,5100.0,7,0,0,0,0.0
0.0,0.740293974,28.0,0,0.681751179,10174.5,9,0,1,0,0.0
0.0,0.741131411,53.0,1,4137.0,,21,0,2,0,1.0
0.0,0.024162279,75.0,0,0.006293965,4050.0,10,0,0,0,0.0
,,,0,0.06587473,12499.5,7,0,0,0,1.0
1.0,0.979486886,59.0,0,1.168943685,4500.0,9,0,2,0,1.0
1.0,0.9999999,35.0,0,0.075274961,10500.0,1,2,0,1,3.0
0.0,0.200448239,57.0,1,0.289618397,9000.0,15,0,2,0,0.0
0.0,0.9999999,22.0,0,0.011976048,750.0,0,0,0,0,0.0
0.0,0.002943509,60.0,0,0.000821018,10960.5,7,0,0,0,2.0
,,150.0,0,0.466055446,6870.0,11,0,1,0,1.0
0.0,0.9999999,28.0,0,0.264532173,4824.0,5,0,0,0,0.0
0.0,0.033024119,54.0,0,1309.0,,8,0,1,0,0.0
,,,0,0.0,,0,0,0,0,0.0
0.0,0.229448971,60.0,0,0.357169322,12144.0,15,0,1,0,1.0
0.0,0.11045178,63.0,0,0.311815713,17124.0,20,0,1,1,1.0
0.0,0.001749913,85.0,0,1.0,,4,0,0,0,0.0
0.0,0.192080876,34.0,0,0.402780387,7983.0,8,0,1,0,4.0
0.0,0.0,58.0,0,0.151310457,5550.0,6,0,1,0,0.0
